 1.50000000E+00 -1.95255600E+00  1.99386083E-01  9.86966000E-01  2.72209896E-02  9.86966000E-01
 1.60000000E+00 -1.92715200E+00  2.59001910E-01  9.79442000E-01  4.03430397E-02  9.79442000E-01
 1.70000000E+00 -1.89998000E+00  3.25990298E-01  9.70974000E-01  5.99771367E-02  9.70974000E-01
 1.80000000E+00 -1.86066000E+00  4.28875444E-01  9.57500000E-01  1.05239444E-01  9.57500000E-01
 1.90000000E+00 -1.81280400E+00  5.50658659E-01  9.39738000E-01  1.83535335E-01  9.39738000E-01
 2.00000000E+00 -1.74384800E+00  7.51781822E-01 -2.34134000E-01  3.90222495E+01  9.09414000E-01
 2.10000000E+00 -1.66566000E+00  9.40233206E-01  7.54756000E-01  9.69835145E+00  8.70372000E-01
 2.20000000E+00 -1.56156400E+00  1.11200566E+00 -2.34538000E-01  2.87169694E+01  8.11270000E-01
 2.30000000E+00 -1.44226000E+00  1.27571441E+00  1.99000000E-02  2.52255996E+01  7.30904000E-01
 2.40000000E+00 -1.30224400E+00  1.29192369E+00 -1.20668000E-01  1.83524047E+01  6.26428000E-01
 2.50000000E+00 -1.18174000E+00  1.15792660E+00  7.74500000E-02  1.38224455E+01  5.34102000E-01
