 0.00000000E+00  1.00000000E+00  0.00000000E+00  1.00000000E+00  0.00000000E+00
 1.25663706E-01  9.93425459E-01 -1.25415656E-01  9.92114701E-01  1.31161456E-03
 2.51327412E-01  9.71165056E-01 -2.49182211E-01  9.68583161E-01  2.62666978E-03
 3.76991118E-01  9.33528741E-01 -3.69343255E-01  9.29776486E-01  3.94517469E-03
 5.02654825E-01  8.81069791E-01 -4.83994112E-01  8.76306680E-01  5.26713834E-03
 6.28318531E-01  8.14576722E-01 -5.91312018E-01  8.09016994E-01  6.59256981E-03
 7.53982237E-01  7.35061470E-01 -6.89585087E-01  7.28968627E-01  7.92147819E-03
 8.79645943E-01  6.43744012E-01 -7.77239598E-01  6.37423990E-01  9.25387259E-03
 1.00530965E+00  5.42033676E-01 -8.52865182E-01  5.35826795E-01  1.05897622E-02
 1.13097336E+00  4.31507407E-01 -9.15237494E-01  4.25779292E-01  1.19291561E-02
 1.25663706E+00  3.13885334E-01 -9.63338012E-01  3.09016994E-01  1.32720636E-02
 1.38230077E+00  1.91004013E-01 -9.96370641E-01  1.87381315E-01  1.46184938E-02
 1.50796447E+00  6.47877717E-02 -1.01377486E+00  6.27905195E-02  1.59684560E-02
 1.63362818E+00 -6.27814166E-02 -1.01523515E+00 -6.27905195E-02  1.73219595E-02
 1.75929189E+00 -1.89695040E-01 -1.00068667E+00 -1.87381315E-01  1.86790135E-02
 1.88495559E+00 -3.13949658E-01 -9.70316890E-01 -3.09016994E-01  2.00396274E-02
 2.01061930E+00 -4.33578512E-01 -9.24563300E-01 -4.25779292E-01  2.14038105E-02
 2.13628300E+00 -5.46682645E-01 -8.64107187E-01 -5.35826795E-01  2.27715721E-02
 2.26194671E+00 -6.51461027E-01 -7.89863516E-01 -6.37423990E-01  2.41429217E-02
 2.38761042E+00 -7.46239221E-01 -7.02967114E-01 -7.28968627E-01  2.55178687E-02
 2.51327412E+00 -8.29496122E-01 -6.04755346E-01 -8.09016994E-01  2.68964225E-02
 2.63893783E+00 -8.99888354E-01 -4.96747557E-01 -8.76306680E-01  2.82785925E-02
 2.76460154E+00 -9.56271922E-01 -3.80621582E-01 -9.29776486E-01  2.96643883E-02
 2.89026524E+00 -9.97720778E-01 -2.58187699E-01 -9.68583161E-01  3.10538193E-02
 3.01592895E+00 -1.02354200E+00 -1.31360428E-01 -9.92114701E-01  3.24468952E-02
 3.14159265E+00 -1.03328734E+00 -2.12860169E-03 -1.00000000E+00  3.38436254E-02
 3.26725636E+00 -1.02676091E+00  1.27475802E-01 -9.92114701E-01  3.52440195E-02
 3.39292007E+00 -1.00402296E+00  2.55409600E-01 -9.68583161E-01  3.66480872E-02
 3.51858377E+00 -9.65389611E-01  3.79650597E-01 -9.29776486E-01  3.80558381E-02
 3.64424748E+00 -9.11428488E-01  4.98229540E-01 -8.76306680E-01  3.94672818E-02
 3.76991118E+00 -8.42950480E-01  6.09261311E-01 -8.09016994E-01  4.08824281E-02
 3.89557489E+00 -7.60997560E-01  7.10974885E-01 -7.28968627E-01  4.23012866E-02
 4.02123860E+00 -6.66826969E-01  8.01741559E-01 -6.37423990E-01  4.37238672E-02
 4.14690230E+00 -5.61891944E-01  8.80101018E-01 -5.35826795E-01  4.51501794E-02
 4.27256601E+00 -4.47819316E-01  9.44784805E-01 -4.25779292E-01  4.65802333E-02
 4.39822972E+00 -3.26384303E-01  9.94736831E-01 -3.09016994E-01  4.80140384E-02
 4.52389342E+00 -1.99482904E-01  1.02913059E+00 -1.87381315E-01  4.94516048E-02
 4.64955713E+00 -6.91023069E-02  1.04738281E+00 -6.27905195E-02  5.08929423E-02
 4.77522083E+00  6.27102115E-02  1.04916326E+00  6.27905195E-02  5.23380607E-02
 4.90088454E+00  1.93879419E-01  1.03440065E+00  1.87381315E-01  5.37869700E-02
 5.02654825E+00  3.22334787E-01  1.00328443E+00  3.09016994E-01  5.52396801E-02
 5.15221195E+00  4.46043159E-01  9.56262465E-01  4.25779292E-01  5.66962009E-02
 5.27787566E+00  5.63040914E-01  8.94034683E-01  5.35826795E-01  5.81565426E-02
 5.40353936E+00  6.71465125E-01  8.17542670E-01  6.37423990E-01  5.96207151E-02
 5.52920307E+00  7.69583200E-01  7.27955463E-01  7.28968627E-01  6.10887285E-02
 5.65486678E+00  8.55820555E-01  6.26651708E-01  8.09016994E-01  6.25605928E-02
 5.78053048E+00  9.28785863E-01  5.15198464E-01  8.76306680E-01  6.40363181E-02
 5.90619419E+00  9.87293475E-01  3.95326982E-01  9.29776486E-01  6.55159146E-02
 6.03185789E+00  1.03038267E+00  2.68905830E-01  9.68583161E-01  6.69993924E-02
 6.15752160E+00  1.05733337E+00  1.37911780E-01  9.92114701E-01  6.84867617E-02
 6.28318531E+00  1.06767819E+00  4.39891435E-03  1.00000000E+00  6.99780327E-02
 6.40884901E+00  1.06121039E+00 -1.29533567E-01  9.92114701E-01  7.14732157E-02
 6.53451272E+00  1.03798788E+00 -2.61774340E-01  9.68583161E-01  7.29723209E-02
 6.66017643E+00  9.98332984E-01 -3.90233224E-01  9.29776486E-01  7.44753585E-02
 6.78584013E+00  9.42828047E-01 -5.12874206E-01  8.76306680E-01  7.59823390E-02
 6.91150384E+00  8.72306931E-01 -6.27747692E-01  8.09016994E-01  7.74932727E-02
 7.03716754E+00  7.87842524E-01 -7.33021484E-01  7.28968627E-01  7.90081698E-02
 7.16283125E+00  6.90730451E-01 -8.27009991E-01  6.37423990E-01  8.05270409E-02
 7.28849496E+00  5.82469215E-01 -9.08201193E-01  5.35826795E-01  8.20498963E-02
